reporting_period,firm_name,total_complaints,period_order,complaint_share_pct
2024H2,Cynergy Bank PLC,907.0,1,0.05
2024H2,Domestic & General Insurance PLC,44570.0,1,2.63
2024H2,Elderbridge Limited,919.0,1,0.05
2024H2,Embark Investment Services Limited,755.0,1,0.04
2024H2,Equiniti Financial Services Limited,2099.0,1,0.12
2024H2,Ergo Travel Insurance Services LTD,3011.0,1,0.18
2024H2,Esure Insurance Limited,16080.0,1,0.95
2024H2,Eui Limited,73418.0,1,4.34
2024H2,Exeter Friendly Society Limited,1162.0,1,0.07
2024H2,Experian Limited,2.0,1,0.0
2024H2,Extracover Limited,519.0,1,0.03
2024H2,Family Assurance Friendly Society Limited,529.0,1,0.03
2024H2,Family Equity Plan Limited,830.0,1,0.05
2024H2,Fce Bank PLC,146.0,1,0.01
2024H2,Financial Administration Services Limited,2030.0,1,0.12
2024H2,First Central Insurance Management Limited,9224.0,1,0.55
2024H2,Firstrand Bank Limited,42.0,1,0.0
2024H2,Forester Life Limited,502.0,1,0.03
2024H2,Forsakringsaktiebolaget Agria (publ),674.0,1,0.04
2024H2,Fortegra Europe Insurance Company LTD,3858.0,1,0.23
2024H2,Funding Circle LTD,36.0,1,0.0
2024H2,HSBC UK Bank PLC,98421.0,1,5.82
2024H2,Halifax Share Dealing Limited,562.0,1,0.03
2024H2,Hargreaves Lansdown Asset Management Limited,5703.0,1,0.34
2024H2,Hastings Insurance Services Limited,15998.0,1,0.95
2024H2,Hbos Investment Fund Managers Limited,710.0,1,0.04
2024H2,Helvetia Global Solutions LTD,1232.0,1,0.07
2024H2,Highway Insurance Company Limited,505.0,1,0.03
2024H2,Hiscox Insurance Company Limited,510.0,1,0.03
2024H2,Home Retail Group Card Services Limited,3944.0,1,0.23
2024H2,Homeserve Membership Limited,2489.0,1,0.15
2024H2,Hood Travel Limited,681.0,1,0.04
2024H2,Howserv Limited,2239.0,1,0.13
2024H2,Hyundai Capital UK Limited,0.0,1,0.0
2024H2,I Go 4 Ltd.,890.0,1,0.05
2024H2,Ikano Bank Ab (publ),1357.0,1,0.08
2024H2,Insurance Factory LTD,4565.0,1,0.27
2024H2,Inter Partner Assistance Sa,9669.0,1,0.57
2024H2,Interactive Brokers (u.k.) Limited,617.0,1,0.04
2024H2,Interactive Investor Services Limited,2093.0,1,0.12
2024H2,Invesco Fund Managers Limited,544.0,1,0.03
2024H2,J D Williams & Company Limited,1.0,1,0.0
2024H2,J.p. Morgan Europe Limited,12193.0,1,0.72
2024H2,James Hay Administration Company LTD,1179.0,1,0.07
2024H2,Janus Henderson Fund Management UK Limited,541.0,1,0.03
2024H2,Kensington Mortgage Company Limited,992.0,1,0.06
2024H2,Kroo Bank LTD,1246.0,1,0.07
2024H2,Landmark Mortgages Limited,751.0,1,0.04
2024H2,Leaseplan UK Limited,20.0,1,0.0
2024H2,Leeds Building Society,3326.0,1,0.2
2024H2,Legal & General (portfolio Management Services) LTD,522.0,1,0.03
2024H2,Legal And General Assurance Society Limited,4123.0,1,0.24
2024H2,Lenvi Servicing Limited,813.0,1,0.05
2024H2,Liverpool Victoria Financial Services Limited,2044.0,1,0.12
2024H2,Liverpool Victoria Insurance Company Limited,9279.0,1,0.55
2024H2,Lloyds Bank General Insurance Limited,5611.0,1,0.33
2024H2,Lloyds Bank PLC,76760.0,1,4.54
2024H2,London And Country Mortgages LTD,635.0,1,0.04
2024H2,M & G Securities Limited,577.0,1,0.03
2024H2,MBNA Limited,9081.0,1,0.54
2024H2,Manypets LTD,4914.0,1,0.29
2024H2,Marks & Spencer Financial Services PLC,8338.0,1,0.49
2024H2,Marshmallow Financial Services LTD,4843.0,1,0.29
2024H2,Metlife Europe D.a.c.,750.0,1,0.04
2024H2,Metro Bank PLC,8916.0,1,0.53
2024H2,Monzo Bank LTD,50752.0,1,3.0
2024H2,Moorcroft Debt Recovery Limited,578.0,1,0.03
2024H2,Motonovo Finance Limited,24.0,1,0.0
2024H2,Munich Re Digital Partners Limited,1289.0,1,0.08
2024H2,National House-building Council,570.0,1,0.03
2024H2,National Westminster Bank Public Limited Company,88461.0,1,5.23
2024H2,Nationwide Building Society,63363.0,1,3.74
2024H2,Newcastle Building Society,804.0,1,0.05
2024H2,Northern Bank Limited,1536.0,1,0.09
2024H2,Nutmeg Saving And Investment Limited,772.0,1,0.05
2024H2,One Call Insurance Services Limited,3113.0,1,0.18
2024H2,Onesavings Bank PLC,2977.0,1,0.18
2024H2,Paragon Bank PLC,1095.0,1,0.06
2024H2,People's Administration Services Limited,3611.0,1,0.21
2024H2,Pepper (uk) Limited,621.0,1,0.04
2024H2,Phoenix Life Ca Limited,1042.0,1,0.06
2024H2,Phoenix Life Limited,14030.0,1,0.83
2024H2,Pinnacle Insurance Limited,2410.0,1,0.14
2024H2,Post Office Management Services Limited,617.0,1,0.04
2024H2,Principality Building Society,1328.0,1,0.08
2024H2,Qbe UK Limited,893.0,1,0.05
2024H2,Qmetric Group Limited,3112.0,1,0.18
2024H2,Quilter Financial Services Limited,680.0,1,0.04
2024H2,Quilter Life & Pensions Limited,633.0,1,0.04
2024H2,RBS Collective Investment Funds Limited,1465.0,1,0.09
2024H2,Rac Motoring Services,9193.0,1,0.54
2024H2,Reassure Life Limited,758.0,1,0.04
2024H2,Reassure Limited,4807.0,1,0.28
2024H2,Reassured LTD,579.0,1,0.03
2024H2,Rothesay Life PLC,676.0,1,0.04
2024H2,Royal & Sun Alliance Insurance Limited,11992.0,1,0.71
2024H2,Sabre Insurance Company Limited,675.0,1,0.04
2024H2,Saga Services Limited,15359.0,1,0.91
2024H2,Sainsbury's Bank PLC,4013.0,1,0.24
2024H2,Santander UK PLC,64646.0,1,3.82
2024H2,Scottish Equitable PLC,6951.0,1,0.41
2024H2,Scottish Friendly Assurance Society Limited,1120.0,1,0.07
2024H2,Scottish Widows Limited,12986.0,1,0.77
2024H2,Scottish Widows Unit Trust Managers Limited,561.0,1,0.03
2024H2,Secure Trust Bank PLC,359.0,1,0.02
2024H2,Shawbrook Bank Limited,1305.0,1,0.08
2024H2,Shop Direct Finance Company Limited,367.0,1,0.02
2024H2,Simplyhealth Access,1988.0,1,0.12
2024H2,Skipton Building Society,3579.0,1,0.21
2024H2,Society Of Lloyd's,4865.0,1,0.29
2024H2,Somerset Bridge Insurance Services Limited,784.0,1,0.05
2024H2,St James's Place UK PLC,723.0,1,0.04
2024H2,St. James's Place Wealth Management PLC,5586.0,1,0.33
2024H2,Starling Bank Limited,22175.0,1,1.31
2024H2,Starr International (europe) Limited,1448.0,1,0.09
2024H2,Suffolk Life Pensions Limited,589.0,1,0.03
2024H2,Swift 1st Limited,843.0,1,0.05
2024H2,TSB Bank PLC,31883.0,1,1.88
2024H2,Tandem Bank Limited,90.0,1,0.01
2024H2,Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,3845.0,1,0.23
2024H2,Telefonica UK Limited,123.0,1,0.01
2024H2,Tesco Personal Finance Limited,19628.0,1,1.16
2024H2,Tesco Underwriting Limited,2415.0,1,0.14
2024H2,The Co-operative Bank PLC,12698.0,1,0.75
2024H2,The Mortgage Works (uk) PLC,1576.0,1,0.09
2024H2,The National Farmers' Union Mutual Insurance Society Limited,5910.0,1,0.35
2024H2,The Prudential Assurance Company Limited,11295.0,1,0.67
2024H2,The Royal Bank Of Scotland PLC,19605.0,1,1.16
2024H2,The Royal London Mutual Insurance Society Limited,6869.0,1,0.41
2024H2,Topaz Finance Limited,2336.0,1,0.14
2024H2,Tradex Insurance Company PLC,2485.0,1,0.15
2024H2,Trading 212 UK Limited,851.0,1,0.05
2024H2,Triodos Bank UK Limited,631.0,1,0.04
2024H2,U K Insurance Limited,51800.0,1,3.06
2024H2,U.s. Bank Europe Dac,1859.0,1,0.11
2024H2,UK Mortgage Lending LTD,652.0,1,0.04
2024H2,Usay Business LTD,662.0,1,0.04
2024H2,Utility Warehouse Limited,2693.0,1,0.16
2024H2,"Vanguard Asset Management, LTD",1741.0,1,0.1
2024H2,Vanquis Bank Limited,26951.0,1,1.59
2024H2,Virgin Money Unit Trust Managers LTD,1866.0,1,0.11
2024H2,Vitality Corporate Services Limited,8702.0,1,0.51
2024H2,Vodafone Limited,290.0,1,0.02
2024H2,Volkswagen Financial Services (uk) Limited,47.0,1,0.0
2024H2,Wesleyan Assurance Society,731.0,1,0.04
2024H2,Xbridge Limited,1174.0,1,0.07
2024H2,Yorkshire Building Society,2386.0,1,0.14
2024H2,Zempler Bank Limited,1805.0,1,0.11
2024H2,Zopa Bank Limited,3286.0,1,0.19
2024H2,Zurich Assurance LTD,3698.0,1,0.22
2024H2,Zurich Insurance Company LTD,3112.0,1,0.18
2025H1,Abrdn Fund Managers Limited,800.0,2,0.05
2025H1,Accord Mortgages Limited,918.0,2,0.05
2025H1,Accredited Insurance (europe) LTD,4649.0,2,0.27
2025H1,Acm Ulr Limited,723.0,2,0.04
2025H1,Acorn Insurance & Financial Services LTD,805.0,2,0.05
2025H1,Acromas Insurance Company Limited,2446.0,2,0.14
2025H1,Action 365 LTD,789.0,2,0.05
2025H1,Admiral Financial Services Limited,9.0,2,0.0
2025H1,Adrian Flux Insurance Services Group,1554.0,2,0.09
2025H1,Advisory Insurance Brokers Limited,708.0,2,0.04
2025H1,Affinity Insurance Solutions Limited,663.0,2,0.04
2025H1,Ageas Insurance Limited,5090.0,2,0.29
2025H1,Ageas Retail Limited,912.0,2,0.05
2025H1,Aioi Nissay Dowa Insurance UK Limited,1585.0,2,0.09
2025H1,Aj Bell Management Limited,1350.0,2,0.08
2025H1,Aj Bell Securities Limited,1233.0,2,0.07
2025H1,Aldermore Bank PLC,1633.0,2,0.09
2025H1,Allianz Insurance PLC,2758.0,2,0.16
2025H1,American Express Services Europe Limited,13353.0,2,0.77
2025H1,American International Group UK Limited,925.0,2,0.05
2025H1,Amtrust Specialty Limited,2170.0,2,0.12
2025H1,Animal Friends Insurance Services LTD,3055.0,2,0.18
2025H1,Arag Legal Expenses Insurance Company Limited,2041.0,2,0.12
2025H1,Arthur J. Gallagher Insurance Brokers Limited,1053.0,2,0.06
2025H1,Assurant General Insurance Limited,5778.0,2,0.33
2025H1,Astrenska Insurance Limited,2026.0,2,0.12
2025H1,Asurion Europe Limited,1548.0,2,0.09
2025H1,Atlanta Insurance Intermediaries Limited,9569.0,2,0.55
2025H1,Automobile Association Insurance Services Limited,6366.0,2,0.37
2025H1,Autoprotect (mbi) LTD,515.0,2,0.03
2025H1,Avantia Insurance Limited,1122.0,2,0.06
